season,zone,local_hour,captured_at,healthy_cycle,healthy_age_hours,if_404_cycle,if_404_age_hours
daylight,America/Los_Angeles,11,2026-09-17T11:00:00-07:00,2026-09-17T07:00:00+00:00,11.0,2026-09-17T01:00:00+00:00,17.0
daylight,America/Los_Angeles,12,2026-09-17T12:00:00-07:00,2026-09-17T07:00:00+00:00,12.0,2026-09-17T01:00:00+00:00,18.0
daylight,America/Los_Angeles,13,2026-09-17T13:00:00-07:00,2026-09-17T07:00:00+00:00,13.0,2026-09-17T01:00:00+00:00,19.0
daylight,America/Los_Angeles,14,2026-09-17T14:00:00-07:00,2026-09-17T07:00:00+00:00,14.0,2026-09-17T01:00:00+00:00,20.0
daylight,America/Los_Angeles,15,2026-09-17T15:00:00-07:00,2026-09-17T07:00:00+00:00,15.0,2026-09-17T01:00:00+00:00,21.0
daylight,America/Los_Angeles,16,2026-09-17T16:00:00-07:00,2026-09-17T07:00:00+00:00,16.0,2026-09-17T01:00:00+00:00,22.0
daylight,America/Los_Angeles,17,2026-09-17T17:00:00-07:00,2026-09-17T07:00:00+00:00,17.0,2026-09-17T01:00:00+00:00,23.0
daylight,America/Los_Angeles,18,2026-09-17T18:00:00-07:00,2026-09-17T07:00:00+00:00,18.0,2026-09-17T01:00:00+00:00,24.0
daylight,America/Los_Angeles,19,2026-09-17T19:00:00-07:00,2026-09-17T07:00:00+00:00,19.0,unavailable,
daylight,America/Los_Angeles,20,2026-09-17T20:00:00-07:00,2026-09-17T07:00:00+00:00,20.0,unavailable,
daylight,America/Los_Angeles,21,2026-09-17T21:00:00-07:00,2026-09-17T07:00:00+00:00,21.0,unavailable,
daylight,America/Los_Angeles,22,2026-09-17T22:00:00-07:00,2026-09-17T07:00:00+00:00,22.0,unavailable,
daylight,America/Los_Angeles,23,2026-09-17T23:00:00-07:00,2026-09-17T07:00:00+00:00,23.0,unavailable,
