hypothesis,axis,cell,band_rows,snapshots,date_clusters,market_clusters,market_days,population_share,model_brier,market_brier,edge,ci_low,ci_high,standard_error,raw_p,raw_power_abs_effect,family_power_abs_effect,raw_80pct_mde,family_80pct_mde,lodo_positive_share,lomo_positive_share,valid_book_share,reward_window_share,holm_adjusted_p,support_ok,stability_ok,statistical_ok,skill_candidate,min_size_evidence,quotable_candidate,economic_all_scenarios_cleared_share,economic_zero_reward_scenarios_cleared_share
entropy_gap:Q1,entropy_gap,Q1,33803,3073,49,12,466,0.25006103018960046,0.07173560639750667,0.052155526624855786,-0.019580079772650884,-0.027692007615605887,-0.011592772061991077,0.004060325237305472,0.9999992904152056,0.9992570923816422,0.9316046886799576,0.01009589662811277,0.016956183365161873,0.0,0.0,0.6236428719344437,0.5274088098689466,1.0,True,False,False,False,ABSENT,False,,
entropy_gap:Q2,entropy_gap,Q2,33803,3073,50,12,500,0.25006103018960046,0.03912450358354742,0.03133416726326066,-0.0077903363202867625,-0.011122429324844767,-0.004863962250873934,0.001571668851416135,0.9999996415504036,0.9995366356316889,0.9476288052156646,0.003907915088115457,0.006563391767012875,0.0,0.0,0.4333934857852853,0.38398958672307193,1.0,True,False,False,False,ABSENT,False,,
entropy_gap:Q3,entropy_gap,Q3,33781,3071,47,12,487,0.24989828301733258,0.05954652698985462,0.04457686819513928,-0.014969658794715334,-0.019740536457223803,-0.010557415700456296,0.00235014436322717,0.9999999999052862,0.999998848418652,0.9987982471758621,0.00584357487776745,0.009814356345484908,0.0,0.0,0.5773363725170955,0.5285515526479382,1.0,True,False,False,False,ABSENT,False,,
entropy_gap:Q4,entropy_gap,Q4,33792,3072,49,12,415,0.24997965660346652,0.05988659244406875,0.025622276219223486,-0.03426431622484526,-0.04350848993384494,-0.025689507894309464,0.004568139888414891,0.9999999999999682,0.999999997627283,0.9999845188768548,0.011358564991902301,0.019076850512860906,0.0,0.0,0.4218454071969697,0.3947383996212121,1.0,True,False,False,False,ABSENT,False,,
forecast_disagreement_c_eq:missing,forecast_disagreement_c_eq,missing,19888,1808,50,12,275,0.1471234437301652,0.020565183696184534,0.00779897358960177,-0.012766210106582765,-0.020550851356472506,-0.007011706319430708,0.0034886436186184516,0.9998735780516154,0.9780219099246917,0.6273784284658962,0.008674424655023605,0.014568803589796257,0.0,0.0,0.21329444891391794,0.18900844730490748,1.0,True,False,False,False,ABSENT,False,,
forecast_disagreement_c_eq:le_0.5,forecast_disagreement_c_eq,le_0.5,8778,798,47,12,216,0.06493612173488486,0.035929414146538996,0.024175395391888815,-0.011754018754650184,-0.01981870223722675,-0.004712249783147983,0.0038927791792015293,0.9987337937606353,0.9153703648781921,0.37637982504798717,0.009679297566657358,0.016256500084320596,0.0,0.0,0.38220551378446116,0.33310549100022785,1.0,True,False,False,False,ABSENT,False,,
forecast_disagreement_c_eq:0.5_to_1,forecast_disagreement_c_eq,0.5_to_1,12639,1149,49,12,279,0.09349825046789811,0.052220399799525974,0.034979544762243846,-0.017240855037282118,-0.026358089535015852,-0.009690733036447095,0.004197124753346603,0.9999800257752183,0.9931095432577718,0.7803374893949483,0.010436045185680944,0.017527467078335093,0.0,0.0,0.46585964079436665,0.40833926734710024,1.0,True,False,False,False,ABSENT,False,,
forecast_disagreement_c_eq:1_to_2,forecast_disagreement_c_eq,1_to_2,32351,2941,49,12,413,0.23931971681992026,0.06653430730401326,0.043203090793174866,-0.023331216510838394,-0.030925324150235113,-0.015907983963746517,0.003834678732014982,0.9999999994148797,0.9999954898189438,0.9970186433215547,0.009534832265342782,0.01601386882241046,0.0,0.0,0.5696269048870205,0.5102778894006368,1.0,True,False,False,False,ABSENT,False,,
forecast_disagreement_c_eq:gt_2,forecast_disagreement_c_eq,gt_2,61523,5593,47,12,446,0.45512246724713157,0.0690112556022535,0.04854760010077532,-0.020463655501478183,-0.028798021687934737,-0.013530893988241739,0.003885735882289952,0.9999999304195814,0.9998535495500138,0.9733146050369934,0.009661784585951511,0.01622708681642996,0.0,0.0,0.6107634543178974,0.5469499211676934,1.0,True,False,False,False,ABSENT,False,,
forecast_source_count:missing_or_0,forecast_source_count,missing_or_0,6446,586,41,12,122,0.04768492147448938,0.022673988506681786,0.005216880119453926,-0.017457108387227863,-0.031221331038675235,-0.008226878830285058,0.005830288499092396,0.9986242177561141,0.9113887438462824,0.36684014633746675,0.0144968657825977,0.02434766554021434,0.0,0.0,0.19826248836487745,0.18290412659013341,1.0,True,False,False,False,ABSENT,False,,
forecast_source_count:1,forecast_source_count,1,13442,1222,49,12,253,0.0994385222556758,0.019553923778875704,0.009037195171849428,-0.010516728607026276,-0.018285603492179062,-0.0048672937062293,0.003417848292254873,0.998954533153644,0.9239494262709366,0.3984190538573913,0.008498393855777947,0.014273157683357997,0.0,0.0,0.2205029013539652,0.19193572385061747,1.0,True,False,False,False,ABSENT,False,,
forecast_source_count:2,forecast_source_count,2,21021,1911,48,12,333,0.1555049231019611,0.04300998307216531,0.028662012594548314,-0.014347970477617,-0.02231266340372976,-0.00725852432030488,0.003806151984051524,0.9999182711161732,0.9831993986140743,0.6683039733945745,0.00946390122367913,0.015894739259872965,0.0,0.0,0.4187717044859902,0.37110508539079967,1.0,True,False,False,False,ABSENT,False,,
forecast_source_count:3_plus,forecast_source_count,3_plus,94270,8570,47,12,463,0.6973716331678738,0.0686275594599991,0.04705920347406386,-0.021568355985935254,-0.02823861730511248,-0.015842215168651544,0.0031868008387559363,0.9999999999934726,0.9999998497825343,0.9997021706587841,0.007923900171064664,0.013308288428159724,0.0,0.0,0.5987482762278562,0.5350800891057601,1.0,True,False,False,False,ABSENT,False,,
market_probability:0_to_0.02,market_probability,0_to_0.02,95464,12289,50,12,524,0.706204366062776,0.007777264359811306,0.001058026342390849,-0.006719238017420457,-0.008751463626272077,-0.004793132665765826,0.0010219511434488957,0.9999999999756589,0.9999995889730637,0.9994033298386383,0.00254105582686983,0.0042677347172454215,0.0,0.0,0.31225383390597505,0.31225383390597505,1.0,True,False,False,False,ABSENT,False,,
market_probability:0.02_to_0.10,market_probability,0.02_to_0.10,12659,7869,49,12,523,0.09364620244268711,0.06393277910505824,0.044209150485820366,-0.01972362861923787,-0.028555354708863744,-0.01248237353679663,0.004078520138209179,0.9999993375330023,0.9992913956741021,0.9333910808071386,0.010141137791799568,0.017032166459619334,0.0,0.0,0.9973931590173,0.8715538352160518,1.0,True,False,False,False,ABSENT,False,,
market_probability:0.10_to_0.25,market_probability,0.10_to_0.25,8577,6061,49,12,517,0.06344920438825558,0.1673502463762606,0.14225947948000464,-0.02509076689625591,-0.037212204186377135,-0.015129548636242168,0.005611208585614795,0.9999961171587504,0.9976484121180298,0.8722517726098805,0.013952129085289786,0.0234327735137285,0.0,0.0,0.9997668182348141,0.770315961291827,1.0,True,False,False,False,ABSENT,False,,
market_probability:0.25_to_0.50,market_probability,0.25_to_0.50,10500,6542,48,12,515,0.07767478676421634,0.27607341959020926,0.22599180976190472,-0.050081609828304514,-0.07570548414313648,-0.028727558899002293,0.011855432001946255,0.9999880189492907,0.9950529148488851,0.8132444181163575,0.029478233633495658,0.049509058301844884,0.0,0.0,1.0,0.7753333333333333,1.0,True,False,False,False,ABSENT,False,,
