policy,city,ahead,hour_start,band_minutes,pulled_minutes,notional,pulled_notional,eligible_moves,large_moves,pulled_large_moves,t3_known_minutes,trade_rows,pulled_trade_rows,baseline_0_minutes,baseline_0_notional,baseline_0_large_moves,baseline_15_minutes,baseline_15_notional,baseline_15_large_moves,baseline_30_minutes,baseline_30_notional,baseline_30_large_moves,baseline_45_minutes,baseline_45_notional,baseline_45_large_moves,pulled_fraction,notional_fraction,large_move_fraction,t3_known_fraction,baseline_0_large_move_fraction,baseline_15_large_move_fraction,baseline_30_large_move_fraction,baseline_45_large_move_fraction,best_clock_large_move_fraction,lift_vs_best_clock
gfs_15,austin,0,6,158400.0,13200.0,87551.54490401414,5716.197596011946,3221.0,808.0,70.0,154440.0,6966.0,570.0,13200.0,5142.772009964545,78.0,13200.0,5147.205115003541,63.0,13200.0,10844.50681201978,87.0,13200.0,10765.972945975407,100.0,0.08333333333333333,0.06528951147896724,0.08663366336633663,0.975,0.09653465346534654,0.07797029702970297,0.10767326732673267,0.12376237623762376,0.12376237623762376,0.7
gfs_15,austin,0,12,158400.0,13200.0,312576.6047297051,21111.74859615649,10495.0,4348.0,810.0,154440.0,15687.0,1723.0,13200.0,27988.035606166774,513.0,13200.0,23502.901823162276,527.0,13200.0,46649.97767596742,934.0,13200.0,51381.85011098459,946.0,0.08333333333333333,0.0675410388260263,0.18629254829806807,0.975,0.11798528058877644,0.12120515179392824,0.21481140754369826,0.21757129714811407,0.21757129714811407,0.8562367864693446
gfs_15,austin,0,18,158400.0,13200.0,74959.052334548,917.8252600000001,530.0,27.0,0.0,154121.0,1357.0,27.0,13200.0,2491.24926,0.0,13200.0,1440.12344,0.0,13200.0,2724.1751,0.0,13200.0,3680.32599,0.0,0.08333333333333333,0.012244355170122422,0.0,0.9729861111111111,0.0,0.0,0.0,0.0,0.0,
gfs_15,austin,1,0,154440.0,12870.0,49128.71878812839,3936.1484089696364,954.0,98.0,7.0,0.0,2714.0,227.0,12870.0,4312.137859979389,8.0,12870.0,1435.9889130002516,1.0,12870.0,2957.97054198099,9.0,12870.0,3493.7926029746045,10.0,0.08333333333333333,0.08011909339514017,0.07142857142857142,0.0,0.08163265306122448,0.01020408163265306,0.09183673469387756,0.10204081632653061,0.10204081632653061,0.7
gfs_15,austin,1,6,154440.0,12870.0,44492.36302788698,4207.088959073617,1238.0,90.0,6.0,0.0,3047.0,257.0,12870.0,3132.397501005917,4.0,12870.0,3678.964592067593,6.0,12870.0,5076.223300078239,7.0,12870.0,4649.526554016349,5.0,0.08333333333333333,0.09455755263968992,0.06666666666666667,0.0,0.044444444444444446,0.06666666666666667,0.07777777777777778,0.05555555555555555,0.07777777777777778,0.8571428571428571
gfs_15,austin,1,12,156398.0,13200.0,58976.46564570976,5214.079385972894,1511.0,141.0,13.0,0.0,3701.0,421.0,13200.0,5889.115027999583,32.0,13200.0,6321.917554993186,14.0,13200.0,5880.081951959581,9.0,13200.0,8128.2893639675485,27.0,0.08440005626670417,0.08840949230995825,0.09219858156028368,0.0,0.22695035460992907,0.09929078014184398,0.06382978723404255,0.19148936170212766,0.22695035460992907,0.40625
gfs_15,austin,1,18,158400.0,13200.0,31116.24318298156,3179.671337980399,972.0,123.0,8.0,0.0,2404.0,197.0,13200.0,2800.961044000817,17.0,13200.0,2083.806765006652,6.0,13200.0,2439.687075987373,3.0,13200.0,2659.4550439907716,12.0,0.08333333333333333,0.10218686488860776,0.06504065040650407,0.0,0.13821138211382114,0.04878048780487805,0.024390243902439025,0.0975609756097561,0.13821138211382114,0.4705882352941177
gfs_15,austin,2,0,51832.0,7590.0,1242.9147599691153,527.441590966646,61.0,40.0,4.0,0.0,158.0,18.0,7590.0,620.6573949671699,13.0,7590.0,219.5245910001264,12.0,7590.0,33.929991000248584,1.0,7590.0,43.38339500046008,2.0,0.1464346349745331,0.42435861891265353,0.1,0.0,0.325,0.3,0.025,0.05,0.325,0.3076923076923077
gfs_15,austin,2,6,92466.0,7920.0,7118.707370062192,943.0917880086005,249.0,85.0,5.0,0.0,583.0,37.0,7920.0,151.07319800188958,0.0,7920.0,858.6510950117538,2.0,7920.0,1061.4046480067027,7.0,7920.0,340.3367509974662,5.0,0.08565310492505353,0.13248076356878835,0.058823529411764705,0.0,0.0,0.023529411764705882,0.08235294117647059,0.058823529411764705,0.08235294117647059,0.7142857142857143
gfs_15,austin,2,12,99000.0,8250.0,18333.29708499919,574.2903510121853,599.0,84.0,2.0,0.0,1215.0,55.0,8250.0,603.5633870025985,4.0,8250.0,699.9108500114739,2.0,8250.0,622.2106510137679,2.0,8250.0,525.8631880048924,4.0,0.08333333333333333,0.03132499017223069,0.023809523809523808,0.0,0.047619047619047616,0.023809523809523808,0.023809523809523808,0.047619047619047616,0.047619047619047616,0.5
