market,hour,change_native,count,requested_date_hours,reports_per_requested_date_hour
denver,14,2to4,4,114,0.03508771929824561
denver,14,ge4,4,114,0.03508771929824561
denver,14,unknown,0,114,0.0
denver,15,lt1,14,114,0.12280701754385964
denver,15,1to2,4,114,0.03508771929824561
denver,15,2to4,8,114,0.07017543859649122
denver,15,ge4,3,114,0.02631578947368421
denver,15,unknown,0,114,0.0
denver,16,lt1,10,114,0.08771929824561403
denver,16,1to2,8,114,0.07017543859649122
denver,16,2to4,6,114,0.05263157894736842
denver,16,ge4,7,114,0.06140350877192982
denver,16,unknown,0,114,0.0
denver,17,lt1,17,114,0.14912280701754385
denver,17,1to2,11,114,0.09649122807017543
denver,17,2to4,5,114,0.043859649122807015
denver,17,ge4,12,114,0.10526315789473684
denver,17,unknown,0,114,0.0
denver,18,lt1,10,114,0.08771929824561403
denver,18,1to2,11,114,0.09649122807017543
denver,18,2to4,1,114,0.008771929824561403
denver,18,ge4,2,114,0.017543859649122806
denver,18,unknown,0,114,0.0
denver,19,lt1,6,114,0.05263157894736842
denver,19,1to2,9,114,0.07894736842105263
denver,19,2to4,4,114,0.03508771929824561
denver,19,ge4,1,114,0.008771929824561403
denver,19,unknown,0,114,0.0
denver,20,lt1,6,114,0.05263157894736842
denver,20,1to2,8,114,0.07017543859649122
denver,20,2to4,2,114,0.017543859649122806
denver,20,ge4,4,114,0.03508771929824561
denver,20,unknown,0,114,0.0
denver,21,lt1,2,114,0.017543859649122806
denver,21,1to2,4,114,0.03508771929824561
denver,21,2to4,1,114,0.008771929824561403
denver,21,ge4,0,114,0.0
denver,21,unknown,0,114,0.0
denver,22,lt1,2,114,0.017543859649122806
denver,22,1to2,6,114,0.05263157894736842
denver,22,2to4,3,114,0.02631578947368421
denver,22,ge4,0,114,0.0
denver,22,unknown,0,114,0.0
denver,23,lt1,3,114,0.02631578947368421
denver,23,1to2,0,114,0.0
denver,23,2to4,1,114,0.008771929824561403
denver,23,ge4,1,114,0.008771929824561403
denver,23,unknown,0,114,0.0
houston,0,lt1,4,114,0.03508771929824561
houston,0,1to2,0,114,0.0
houston,0,2to4,0,114,0.0
houston,0,ge4,0,114,0.0
houston,0,unknown,0,114,0.0
houston,1,lt1,6,114,0.05263157894736842
houston,1,1to2,0,114,0.0
houston,1,2to4,0,114,0.0
houston,1,ge4,0,114,0.0
houston,1,unknown,0,114,0.0
houston,2,lt1,5,114,0.043859649122807015
houston,2,1to2,0,114,0.0
houston,2,2to4,0,114,0.0
houston,2,ge4,0,114,0.0
houston,2,unknown,0,114,0.0
houston,3,lt1,7,114,0.06140350877192982
houston,3,1to2,1,114,0.008771929824561403
houston,3,2to4,0,114,0.0
houston,3,ge4,0,114,0.0
houston,3,unknown,0,114,0.0
houston,4,lt1,8,114,0.07017543859649122
houston,4,1to2,4,114,0.03508771929824561
houston,4,2to4,0,114,0.0
houston,4,ge4,0,114,0.0
houston,4,unknown,0,114,0.0
houston,5,lt1,8,114,0.07017543859649122
houston,5,1to2,1,114,0.008771929824561403
houston,5,2to4,0,114,0.0
houston,5,ge4,0,114,0.0
houston,5,unknown,0,114,0.0
houston,6,lt1,13,114,0.11403508771929824
houston,6,1to2,3,114,0.02631578947368421
houston,6,2to4,0,114,0.0
houston,6,ge4,0,114,0.0
houston,6,unknown,0,114,0.0
houston,7,lt1,10,114,0.08771929824561403
houston,7,1to2,1,114,0.008771929824561403
houston,7,2to4,0,114,0.0
houston,7,ge4,0,114,0.0
houston,7,unknown,0,114,0.0
houston,8,lt1,10,114,0.08771929824561403
houston,8,1to2,5,114,0.043859649122807015
houston,8,2to4,1,114,0.008771929824561403
houston,8,ge4,0,114,0.0
houston,8,unknown,0,114,0.0
houston,9,lt1,10,114,0.08771929824561403
houston,9,1to2,6,114,0.05263157894736842
houston,9,2to4,2,114,0.017543859649122806
houston,9,ge4,0,114,0.0
houston,9,unknown,0,114,0.0
houston,10,lt1,20,114,0.17543859649122806
houston,10,1to2,4,114,0.03508771929824561
houston,10,2to4,1,114,0.008771929824561403
houston,10,ge4,0,114,0.0
houston,10,unknown,0,114,0.0
houston,11,lt1,7,114,0.06140350877192982
houston,11,1to2,7,114,0.06140350877192982
houston,11,2to4,6,114,0.05263157894736842
houston,11,ge4,2,114,0.017543859649122806
