market,definition,bin,grid_rows,p_mean,observed,cell_gap,gap_low,gap_high,date_clusters,market_clusters
houston,all,4,88,0.39999999999999997,0.4090909090909091,0.009090909090909068,-0.17272727272727278,0.23636363636363633,22,1
houston,all,5,88,0.5777777777777776,0.8181818181818182,0.2404040404040405,0.05858585858585864,0.37676767676767686,22,1
houston,all,8,88,0.8777777777777781,0.8636363636363636,-0.014141414141414132,-0.19595959595959594,0.12222222222222223,22,1
houston,all,9,616,0.9952380952380951,1.0,0.00476190476190476,0.00476190476190476,0.00476190476190476,22,1
houston,hourly,0,968,0.027272727272727264,0.004132231404958678,-0.023140495867768604,-0.02727272727272728,-0.014876033057851247,22,1
houston,hourly,1,176,0.13888888888888887,0.20454545454545456,0.06565656565656569,-0.09343434343434341,0.2474747474747474,22,1
houston,hourly,3,88,0.3888888888888889,0.4090909090909091,0.020202020202020214,-0.16161616161616166,0.2474747474747475,22,1
houston,hourly,5,88,0.5666666666666665,0.8181818181818182,0.2515151515151516,0.06969696969696972,0.38787878787878793,22,1
houston,hourly,8,88,0.866666666666667,0.8636363636363636,-0.00303030303030306,-0.18484848484848485,0.1333333333333333,22,1
houston,hourly,9,616,0.9936507936507938,1.0,0.006349206349206343,0.006349206349206341,0.006349206349206343,22,1
los-angeles,all,0,840,0.0011627906976744186,0.0,-0.0011627906976744186,-0.0011627906976744186,-0.0011627906976744186,21,1
los-angeles,all,2,84,0.21802325581395343,0.14285714285714285,-0.0751661129568106,-0.2180232558139535,0.06769102990033227,21,1
los-angeles,all,4,84,0.4738372093023257,0.47619047619047616,0.0023532668881506556,-0.2357419712070874,0.19282945736434123,21,1
los-angeles,all,6,84,0.6598837209302326,0.7619047619047619,0.10202104097452937,-0.08845514950166108,0.24606866002214195,21,1
los-angeles,all,8,84,0.8255813953488369,0.9047619047619048,0.07918050941306752,-0.06367663344407536,0.17441860465116277,21,1
los-angeles,all,9,756,0.9948320413436692,0.9761904761904762,-0.018641565153193068,-0.05832410483573274,0.005167958656330746,21,1
los-angeles,hourly,0,840,0.0011627906976744186,0.03333333333333333,0.03217054263565891,-0.0011627906976744186,0.09883720930232563,21,1
los-angeles,hourly,2,84,0.20930232558139525,0.19047619047619047,-0.018826135105204894,-0.16168327796234772,0.17165005537098552,21,1
los-angeles,hourly,4,84,0.45348837209302345,0.5238095238095238,0.07032115171650064,-0.1677740863787375,0.26079734219269113,21,1
los-angeles,hourly,6,84,0.6511627906976747,0.8095238095238095,0.158361018826135,-0.03211517165005542,0.3012181616832779,21,1
los-angeles,hourly,8,84,0.8255813953488369,0.9523809523809523,0.12679955703211512,0.03156146179401991,0.17441860465116277,21,1
los-angeles,hourly,9,756,0.9948320413436692,0.9841269841269841,-0.010705057216685129,-0.04245108896271686,0.005167958656330746,21,1
miami,all,0,968,0.013636363636363632,0.004132231404958678,-0.009504132231404961,-0.01363636363636364,-0.0012396694214876032,22,1
miami,all,1,66,0.17407407407407405,0.2727272727272727,0.09865319865319867,-0.08316498316498314,0.2804713804713805,22,1
miami,all,2,22,0.20000000000000007,0.3181818181818182,0.11818181818181817,-0.06363636363636364,0.30000000000000004,22,1
miami,all,4,66,0.4592592592592593,0.45454545454545453,-0.004713804713804711,-0.18653198653198652,0.1771043771043772,22,1
miami,all,5,22,0.5,0.45454545454545453,-0.045454545454545456,-0.22727272727272727,0.13636363636363635,22,1
miami,all,7,88,0.7333333333333333,0.7272727272727273,-0.0060606060606060086,-0.18787878787878787,0.17575757575757578,22,1
miami,all,8,88,0.8444444444444443,0.8181818181818182,-0.026262626262626276,-0.20808080808080803,0.11010101010101012,22,1
miami,all,9,704,0.9958333333333332,0.9886363636363636,-0.007196969696969702,-0.02992424242424243,0.004166666666666666,22,1
miami,hourly,0,968,0.01313131313131313,0.004132231404958678,-0.008999081726354455,-0.013131313131313133,-0.0007346189164370992,22,1
miami,hourly,1,88,0.16666666666666669,0.2727272727272727,0.10606060606060613,-0.07575757575757575,0.2878787878787879,22,1
miami,hourly,4,88,0.4444444444444446,0.45454545454545453,0.010101010101010126,-0.1717171717171717,0.19191919191919196,22,1
miami,hourly,7,88,0.7111111111111111,0.7272727272727273,0.01616161616161613,-0.16565656565656572,0.19797979797979792,22,1
miami,hourly,8,88,0.8222222222222222,0.8181818181818182,-0.004040404040404006,-0.1858585858585858,0.13232323232323237,22,1
miami,hourly,9,704,0.9930555555555557,0.9886363636363636,-0.004419191919191916,-0.02714646464646465,0.0069444444444444475,22,1
nyc,all,0,1008,0.03148148148148148,0.09523809523809523,0.06375661375661375,-0.031481481481481485,0.2066137566137566,21,1
nyc,all,1,84,0.11388888888888889,0.19047619047619047,0.07658730158730157,-0.06626984126984128,0.267063492063492,21,1
nyc,all,2,84,0.2583333333333333,0.42857142857142855,0.17023809523809527,-0.020238095238095208,0.4083333333333333,21,1
nyc,all,4,84,0.4666666666666667,0.6190476190476191,0.15238095238095234,-0.0857142857142857,0.3428571428571428,21,1
nyc,all,7,84,0.738888888888889,0.8571428571428571,0.11825396825396825,-0.02460317460317462,0.2611111111111111,21,1
nyc,all,8,84,0.8777777777777781,0.9523809523809523,0.07460317460317462,-0.020634920634920624,0.12222222222222223,21,1
nyc,all,9,504,0.9930555555555556,0.9742063492063492,-0.018849206349206355,-0.07043650793650794,0.00694444444444444,21,1
nyc,hourly,0,1008,0.02685185185185185,0.09523809523809523,0.0683862433862434,-0.026851851851851852,0.2112433862433863,21,1
