snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,source,forecast_kind,issue_time,issue_time_basis,valid_time,horizon_minutes,target_temp_c,forecast_high_c,cloud_cover,wind_speed_kmh,condition,source_url,payload_hash,is_changed
20260610T094800-0400,2026-06-10T13:48:00.301516+00:00,2026-06-10T09:48:00.301516-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,weather_forecast,hourly,2026-06-10T09:48:00.301516-04:00,capture_fallback,2026-06-10T18:00:00-07:00,672,68,,1,21,Sunny/Wind,https://api.weather.com/v3/wx/forecast/hourly/15day,64750f760b2c0ca5ea560fee1198b721afa3898837b9bd514671d96fd5de0dec,true
20260610T094800-0400,2026-06-10T13:48:00.301516+00:00,2026-06-10T09:48:00.301516-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,open_meteo,hourly,2026-06-10T09:48:00.301516-04:00,capture_fallback,2026-06-10T07:00:00-07:00,12,56.0,,0,0.4,solar 88.0 W/m2,https://api.open-meteo.com/v1/forecast,b60a01f2a34e968c134b403cc57d8fb86c3b54fd35b13d529f21c677471bd896,true
20260610T094800-0400,2026-06-10T13:48:00.301516+00:00,2026-06-10T09:48:00.301516-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,open_meteo,hourly,2026-06-10T09:48:00.301516-04:00,capture_fallback,2026-06-10T08:00:00-07:00,72,61.8,,0,2.1,solar 273.0 W/m2,https://api.open-meteo.com/v1/forecast,e3f50ebd938bac89c8cbcdd52dd133c2361b0cb8363d8e5a738c315d826a6511,true
20260610T094800-0400,2026-06-10T13:48:00.301516+00:00,2026-06-10T09:48:00.301516-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,open_meteo,hourly,2026-06-10T09:48:00.301516-04:00,capture_fallback,2026-06-10T09:00:00-07:00,132,67.5,,8,2.2,solar 473.0 W/m2,https://api.open-meteo.com/v1/forecast,430f4fc0371cd103b827aa768dcb9cb2a01e3bb4919c3ee0bb3ddc206350c6f9,true
20260610T094800-0400,2026-06-10T13:48:00.301516+00:00,2026-06-10T09:48:00.301516-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,open_meteo,hourly,2026-06-10T09:48:00.301516-04:00,capture_fallback,2026-06-10T10:00:00-07:00,192,73.3,,4,3.1,solar 664.0 W/m2,https://api.open-meteo.com/v1/forecast,2737b55ba40ab2d8aeb51350e7c29a8344c82f354528b4a62680d236a01975df,true
20260610T094800-0400,2026-06-10T13:48:00.301516+00:00,2026-06-10T09:48:00.301516-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,open_meteo,hourly,2026-06-10T09:48:00.301516-04:00,capture_fallback,2026-06-10T11:00:00-07:00,252,77.1,,15,8.9,solar 825.0 W/m2,https://api.open-meteo.com/v1/forecast,324133babb3f228d9c1cb51f932908fdb6694274390f56f50a025470b3df8fc2,true
20260610T094800-0400,2026-06-10T13:48:00.301516+00:00,2026-06-10T09:48:00.301516-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,open_meteo,hourly,2026-06-10T09:48:00.301516-04:00,capture_fallback,2026-06-10T12:00:00-07:00,312,78.6,,2,15.9,solar 944.0 W/m2,https://api.open-meteo.com/v1/forecast,83e56443ddfd3eacad8e7f23121dec8b4769dec08b5beefd789db23c552246f1,true
20260610T094800-0400,2026-06-10T13:48:00.301516+00:00,2026-06-10T09:48:00.301516-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,open_meteo,hourly,2026-06-10T09:48:00.301516-04:00,capture_fallback,2026-06-10T13:00:00-07:00,372,78.7,,0,18.7,solar 1010.0 W/m2,https://api.open-meteo.com/v1/forecast,df3643370820cda1481ae52ba022fb57d77de65c1912939d4c59d780e2c1fbdd,true
20260610T094800-0400,2026-06-10T13:48:00.301516+00:00,2026-06-10T09:48:00.301516-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,open_meteo,hourly,2026-06-10T09:48:00.301516-04:00,capture_fallback,2026-06-10T14:00:00-07:00,432,78.5,,0,20.8,solar 1019.0 W/m2,https://api.open-meteo.com/v1/forecast,a457861b51d1a0679cd975c34b59d2a10475c72073608e2be921565847211242,true
20260610T094800-0400,2026-06-10T13:48:00.301516+00:00,2026-06-10T09:48:00.301516-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,open_meteo,hourly,2026-06-10T09:48:00.301516-04:00,capture_fallback,2026-06-10T15:00:00-07:00,492,78.4,,0,22.7,solar 960.0 W/m2,https://api.open-meteo.com/v1/forecast,d51a5992d7efd6f1241e6b6313c2f38e4d73a0d1f60b25e031e120ce5de029a6,true
